period,resource,kind,capacity,full_demand_load,headroom_xi,critical
16,K12,edge,42906.161145,13635.54406,3.146640937552733,False
16,K10,edge,6048000.0,418358.07289335,14.456515582864796,False
16,K14,edge,1728000.0,17243.26654705882,100.21303070877508,False
16,K13,edge,6048000.0,380196.9027016237,15.907546739659885,False
16,K16,edge,1728000.0,38378.07235625,45.025711139412905,False
16,K15,edge,6048000.0,303799.1400752113,19.907890451904183,False
16,K18,edge,1728000.0,5849.03845875,295.43317456136054,False
16,K19,edge,1728000.0,19218.4066125,89.91380164035438,False
16,K20,edge,1728000.0,18943.63095875,91.2179932011314,False
16,K21,edge,1728000.0,20364.94936235294,84.85167182366855,False
16,K22,edge,1728000.0,7150.000005,241.67832150931585,False
16,K23,edge,1728000.0,26005.714291764707,66.4469347241583,False
16,K17,edge,6048000.0,191077.4433823331,31.65208772392019,False
16,K25,edge,1728000.0,20926.547157894736,82.57453974427385,False
16,K24,edge,6048000.0,154864.7007538517,39.05344452647695,False
16,K26,edge,6048000.0,121901.81875990561,49.61369782276974,False
16,K27,edge,6048000.0,90634.51493249855,66.72954563175342,False
16,K28,edge,6048000.0,59150.47006929658,102.24770814018187,False
16,K29,edge,6048000.0,7901.268032890575,765.4467580170696,False
16,K31,edge,1728000.0,22122.352941176472,78.11104020421187,False
16,K32,edge,1728000.0,25172.212889411763,68.64712322240258,False
16,K33,edge,1728000.0,23326.938519277108,74.07744477793351,False
16,K34,edge,1728000.0,48291.67853294118,35.782562389528046,False
16,K35,edge,1728000.0,7348.179270588235,235.16029432168037,False
17,K1,edge,6048000.0,865049.4103920248,6.991508146637722,False
17,K3,edge,2592000.0,39009.635834117646,66.4451216879356,False
17,K2,edge,6048000.0,782787.3040383059,7.726236704145676,False
17,K5,edge,86932.180615,67835.57420588235,1.2815131534253554,False
17,K6,edge,29366.500423,19841.96078235294,1.4800200819426073,False
17,K4,edge,6048000.0,655970.4038481553,9.2199281621858,False
17,K8,edge,27946.386545,31051.540605882354,0.899999999990528,True
17,K7,edge,6048000.0,592120.3430498652,10.214139863609905,False
17,K11,edge,87551.520426,19146.218490588235,4.5727839400264845,False
17,K9,edge,6048000.0,543368.1074067837,11.130575971534272,False
17,K12,edge,42906.161145,11525.826334117646,3.722610414317392,False
17,K10,edge,6048000.0,499240.19462825905,12.114409186350514,False
17,K14,edge,1728000.0,21232.49299764706,81.38469656820295,False
17,K13,edge,6048000.0,453045.69189919904,13.349646863755316,False
17,K16,edge,1728000.0,47375.23807125,36.47475074217409,False
