period,edge,full_demand_load,capacity,ratio
18,K10,603224.3364713,6048000.0,10.026120688994698
18,K14,25945.09804352941,1728000.0,66.60217653064353
18,K13,547118.0216042056,6048000.0,11.05428766953545
18,K16,57007.08333625,1728000.0,30.31202262721603
18,K15,435399.13610753504,6048000.0,13.890702802189903
18,K18,7900.0,1728000.0,218.73417721518987
18,K19,30633.3333425,1728000.0,56.40914035308758
18,K20,30076.25000125,1728000.0,57.45397115425568
18,K21,26856.078436470587,1728000.0,64.34297561677411
18,K22,12721.25,1728000.0,135.8357079689496
18,K23,35529.01961176471,1728000.0,48.636298408521476
18,K17,269913.24791017297,6048000.0,22.407199523651286
18,K25,31761.40351473684,1728000.0,54.4056561983551
18,K24,216558.7845626223,6048000.0,27.92775186753553
18,K26,146093.78729029757,6048000.0,41.398064299491686
18,K27,104888.90184342975,6048000.0,57.661009827598335
18,K28,73028.82034258131,6048000.0,82.81661913239971
18,K29,9752.477338393423,6048000.0,620.1501208508647
18,K30,0.0,6048000.0,
18,K31,55305.882352941175,1728000.0,31.244416081684747
18,K32,33900.196082352944,1728000.0,50.9731564915498
18,K33,22420.080334939757,1728000.0,77.07376486546576
18,K34,59624.90198705882,1728000.0,28.981179715398955
18,K35,9069.803924705882,1728000.0,190.52231055326104
19,K1,1166950.0273528458,6048000.0,5.182741212765997
19,K3,57332.25491411765,2592000.0,45.21015271216446
19,K2,1051270.2710710857,6048000.0,5.753040075829407
19,K5,82008.23532117647,86932.180615,1.0600420832680941
19,K6,21760.000004705882,29366.500423,1.3495634382651247
19,K4,894938.5221916491,6048000.0,6.758006108831724
19,K8,40195.68628588235,46140.063039,1.1478859375814525
19,K7,809995.9097961843,6048000.0,7.466704370793467
19,K11,28611.764711764707,87551.520426,3.0599832379440826
19,K9,740884.3495946104,6048000.0,8.163217381105815
19,K12,9261.960783529412,42906.161145,4.63251380002604
19,K10,687169.3278354043,6048000.0,8.801324149684195
19,K14,32300.000002352943,1728000.0,53.49845200848673
19,K13,620510.8614412812,6048000.0,9.746807631943959
19,K16,65724.375015,1728000.0,26.291615547589853
19,K15,492735.40028215304,6048000.0,12.27433627974925
19,K18,8558.33332625,1728000.0,201.9084714426701
19,K19,38133.3333425,1728000.0,45.31468530379236
19,K20,35473.8541725,1728000.0,48.7119327828657
19,K21,26431.176475294116,1728000.0,65.3773395828674
19,K22,18420.0,1728000.0,93.81107491856677
19,K23,44022.549024705884,1728000.0,39.25261117956231
19,K17,297059.3839267954,6048000.0,20.359565552355733
19,K25,44392.98246210526,1728000.0,38.925071129768206
19,K24,228901.6507505465,6048000.0,26.421827803203644
19,K26,135450.2999038906,6048000.0,44.6510639274434
19,K27,91720.92215340196,6048000.0,65.93915388121377
19,K28,69370.75803068011,6048000.0,87.18370927019701
19,K29,8262.80834914611,6048000.0,731.954529796762
19,K30,0.0,6048000.0,
19,K31,77428.23529411765,1728000.0,22.31744005834625
19,K32,36956.86275529412,1728000.0,46.75721560679449
19,K33,14095.281128915663,1728000.0,122.59422030647596
19,K34,57639.41178,1728000.0,29.97948706686125
19,K35,7684.411764705882,1728000.0,224.8708232862556
20,K1,1026045.7849268068,6652800.0,6.483921183375437
20,K3,49295.51470235294,2851200.0,57.83893356658488
20,K2,925447.9809781135,6652800.0,7.188734684977757
20,K5,73095.02825647058,95625.398677,1.3082339655369783
20,K6,22187.654595294116,32303.150466,1.4559064964374975
20,K4,783892.899077443,6652800.0,8.486873663263978
20,K8,36603.785811764705,50754.069343,1.3865797817745753
20,K7,708094.4683118062,6652800.0,9.39535654876839
20,K11,21441.779790588236,96306.672469,4.491542838774668
20,K9,651247.9651056277,6652800.0,10.215463781020743
20,K12,11494.509805882353,47196.777259,4.106027839033805
20,K10,600678.5773934077,6652800.0,11.075474056140383
20,K14,25067.873305882353,1900800.0,75.82613717590331
20,K13,545576.7752178549,6652800.0,12.194067457038402
20,K16,56212.11336875,1900800.0,33.81477560772002
20,K15,434806.9843273194,6652800.0,15.300582188881819
20,K18,17363.54167375,1900800.0,109.47075404976897
20,K19,24800.9615425,1900800.0,76.64218972892269
