family,family_label,capacity_rule,instance,G1_closed_vs_lp,G3_operator_balance,G4_node_residual,G5_physical_abs,G5_physical_rel,G6_floor,G7_satisfaction,G8_variation_excess,lambda_star,bottleneck_class,bottleneck_count,bottleneck_slack_lp,bottleneck_slack_stage3,bottleneck_tight,lp_relax_others,lp_relax_named,bottleneck_sufficient,bottleneck_necessary,bottleneck_identified,omega_stage2,omega_stage3,stage2_face_width,stage2_multiplicity_not_detected,stage3_active,stage3_outcome,stage3_relative_reduction,ratios_moved_by_stage3,users,edges,periods,active_records,gate_violations
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_10,5.551115123125783e-17,0.0,0.0,0.0,0.0,1.326716514427062e-14,1.1102230246251565e-16,0.0,0.3538426546922147,source,1,1.7380170943772304e-16,3.476034188754461e-16,True,0.35384265469221476,0.354196497346907,True,True,True,6.336927299501862,6.095230661506641,1.794590181716348,False,True,active,0.038140983251333783,4,16,27,3,45,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_11,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,1.2647008922047822e-16,0.0,4.440892098500626e-16,0.0,0.346764483784939,source,1,1.2647008922047822e-16,1.2647008922047822e-16,True,0.34676448378493907,0.34711124826872397,True,True,True,5.568314263562222,5.4731947819416975,0.6026483885341749,False,True,active,0.017082276092598526,4,9,15,3,27,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_12,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.7015422983863648,edge,1,0.0,0.0,True,0.7015422983863648,0.7022438406847512,True,True,True,0.9980368647783577,0.9980368647783435,4.107825191113079e-15,True,False,inactive: multiplicity not detected,1.4238807419561527e-14,0,4,7,3,11,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_13,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.8688971127699477,edge,1,0.0,0.0,True,0.8688971127699477,0.8697660098827176,True,True,True,0.2622057744601046,0.2622057744601046,8.881784197001252e-16,True,False,inactive: multiplicity not detected,0.0,0,3,7,3,7,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_14,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,9.325873406851315e-15,0.17918938430199538,edge,1,1.4089750231116385e-16,0.0,True,0.17918938430199535,0.17936857368629738,True,True,True,1.6416212313960092,1.6416212313960186,0.0,True,False,inactive: multiplicity not detected,-5.68089229628246e-15,0,6,12,3,17,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_15,0.0,0.0,0.0,7.105427357601002e-15,1.6306115436011094e-16,1.6653345369377348e-16,0.0,0.0,0.14101992830402849,edge,1,0.0,0.0,True,0.14101992830402849,0.1411609482323325,True,True,True,2.1020566335592132,2.1020566335592106,0.007439654738404133,False,False,inactive: multiplicity detected; no reduction above the activity threshold,1.2675849054498455e-15,0,6,9,3,16,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_16,0.0,0.0,0.0,2.842170943040401e-14,2.0658281477651066e-16,0.0,1.1102230246251565e-16,0.0,0.48437452092254496,edge,1,0.0,1.2744186817167837e-16,True,0.48437452092254496,0.4848588954434675,True,True,True,3.4808195294364266,3.4808195294356974,0.330149827955565,False,False,inactive: multiplicity detected; no reduction above the activity threshold,2.0948931032108563e-13,2,8,14,3,21,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_17,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,1.151781169686498e-16,0.0,5.551115123125783e-17,0.0,0.38196990385976415,source,1,1.151781169686498e-16,1.151781169686498e-16,True,0.3819699038597641,0.38235187376362384,True,True,True,4.0790862881549925,3.862709011380607,0.0003029127750166227,False,True,active,0.053045525759705135,2,11,20,3,32,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_18,0.0,0.0,0.0,1.4210854715202004e-14,1.7123826239586872e-16,0.0,0.0,0.0,0.4194472327794117,source,1,0.0,1.7123826239586872e-16,True,0.4194472327794117,0.41986668001219113,True,True,True,2.549840797901486,2.5498407979014726,0.22707030242947496,False,False,inactive: multiplicity detected; no reduction above the activity threshold,5.224905141711756e-15,0,7,13,3,20,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_19,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.46540038156433033,edge,1,1.5731645244498507e-16,0.0,True,0.4654003815643303,0.4658657819458946,True,True,True,4.656298022168526,2.808326155627501,0.42206000273883937,False,True,active,0.3968757707824701,4,13,21,3,34,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_20,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.5802785452456343,edge,1,1.8970513383071733e-16,0.0,True,0.5802785452456342,0.5808588237908799,True,True,True,2.5183287285261944,2.5183287285261935,2.7755575615628914e-16,True,False,inactive: multiplicity not detected,3.526856560223237e-16,0,3,5,3,9,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5195763004630424,edge,1,0.0,0.0,True,0.5195763004630424,0.5200958767635053,True,True,True,0.9410633147704927,0.9410633147704923,1.0436096431476471e-14,True,False,inactive: multiplicity not detected,3.5392614095128724e-16,0,2,6,3,6,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_22,0.0,0.0,0.0,2.5366375666635577e-12,4.8761807599847575e-14,2.7755575615628914e-17,0.0,0.0,0.15758257748020343,edge,1,0.0,0.0,True,0.15758257748020343,0.15774016005768363,True,True,True,5.9846598321899425,5.546594132158244,1.2951298767312371,False,True,active,0.07319809518252915,6,11,19,3,33,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20371904586459946,edge,1,0.0,0.0,True,0.20371904586459946,0.20392276491046404,True,True,True,8.007875114749918,7.945281580574181,1.228332226974806,False,True,active,0.00781649729532425,2,13,23,3,36,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_24,5.551115123125783e-17,0.0,0.0,0.0,0.0,6.772360450213455e-15,1.1102230246251565e-16,0.0,0.4384635447813839,source,1,2.364552788276965e-16,2.364552788276965e-16,True,0.43846354478138383,0.4389020083261652,True,True,True,5.13756984502604,5.137569845025924,2.2293278334473143e-13,True,False,inactive: multiplicity not detected,2.264716130202346e-14,0,13,23,3,35,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_25,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,3.963496197911809e-14,0.9001962482116969,edge,1,0.0,0.0,True,0.9001962482116969,0.9010964444599086,True,True,True,0.3992150071532129,0.39921500715325253,0.0,True,False,inactive: multiplicity not detected,-9.928224457731061e-14,0,4,7,3,11,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_26,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4659756645640074,edge,1,0.0,0.0,True,0.46597566456400746,0.4664416402285715,True,True,True,3.7993179341569556,3.7381703480519506,0.037526336721359854,False,True,active,0.01609435882037424,2,6,10,3,16,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_27,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.5037512541104251,source,1,1.4548814774987343e-16,0.0,True,0.5037512541104251,0.5042550053645355,True,True,True,3.6502200173962622,3.650220017396259,2.220446049250313e-15,True,False,inactive: multiplicity not detected,8.516266017213534e-16,0,6,11,3,18,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_28,0.0,0.0,0.0,0.0,0.0,7.216449660063518e-16,0.0,0.0,0.43227765635286375,edge,1,0.0,0.0,True,0.43227765635286375,0.4327099340092166,True,True,True,4.366423078770857,4.049086619032653,0.15942775554971256,False,True,active,0.07267652584584952,4,9,16,3,24,0
load_independent,"Load-independent volume scales, lining classes, uniform weights",load_independent,load_independent_29,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,6.661338147750939e-14,0.34106499616526587,edge,1,0.0,0.0,True,0.34106499616526587,0.34140606116143113,True,True,True,6.35948180573515,6.359481805735217,0.0,True,False,inactive: multiplicity not detected,-1.0474655563513944e-14,0,10,20,3,28,0
