F,phase,repeat,ms
50,build,24,0.09310001041740179
50,build,25,0.09240000508725643
50,build,26,0.09270000737160444
50,build,27,0.08549995254725218
50,build,28,0.09229988791048527
50,build,29,0.0926000066101551
50,build,30,0.09320001117885113
50,loads,1,0.8104000007733703
50,loads,2,0.7946999976411462
50,loads,3,0.7872999412938952
50,loads,4,0.7983000250533223
50,loads,5,0.8008000440895557
50,loads,6,0.8005999261513352
50,loads,7,0.8013000478968024
50,loads,8,0.7859000470489264
50,loads,9,0.8493000641465187
50,loads,10,0.8030999451875687
50,loads,11,0.7967000128701329
50,loads,12,0.790799967944622
50,loads,13,0.784000032581389
50,loads,14,0.7973999017849565
50,loads,15,0.784000032581389
50,loads,16,0.7940999930724502
50,loads,17,0.799100031144917
50,loads,18,0.8302999194711447
50,loads,19,0.7882000645622611
50,loads,20,0.8619000436738133
50,loads,21,0.7922999793663621
50,loads,22,0.8519000839442015
50,loads,23,0.7890999549999833
50,loads,24,0.8195000700652599
50,loads,25,0.7974000182002783
50,loads,26,1.126500079408288
50,loads,27,0.7964000105857849
50,loads,28,0.7946999976411462
50,loads,29,0.797600019723177
50,loads,30,0.8012000471353531
50,cf_scan,1,0.06909994408488274
50,cf_scan,2,0.04309997893869877
50,cf_scan,3,0.04300009459257126
50,cf_scan,4,0.042899977415800095
50,cf_scan,5,0.04369998350739479
50,cf_scan,6,0.04279997665435076
50,cf_scan,7,0.04269997589290142
50,cf_scan,8,0.042899977415800095
50,cf_scan,9,0.054699950851500034
50,cf_scan,10,0.04339998122304678
50,cf_scan,11,0.04379998426884413
50,cf_scan,12,0.04339998122304678
50,cf_scan,13,0.04239997360855341
50,cf_scan,14,0.0439999857917428
50,cf_scan,15,0.042199972085654736
50,cf_scan,16,0.04439998883754015
50,cf_scan,17,0.042100087739527225
50,cf_scan,18,0.05209993105381727
50,cf_scan,19,0.04269997589290142
50,cf_scan,20,0.04490010906010866
50,cf_scan,21,0.04309997893869877
50,cf_scan,22,0.04509999416768551
50,cf_scan,23,0.04680000711232424
50,cf_scan,24,0.04970002919435501
50,cf_scan,25,0.0439999857917428
50,cf_scan,26,0.05619996227324009
50,cf_scan,27,0.043599982745945454
50,cf_scan,28,0.043599982745945454
50,cf_scan,29,0.0439999857917428
50,cf_scan,30,0.04970002919435501
50,lp_build,1,1.574800000526011
50,lp_build,2,1.3551999581977725
50,lp_build,3,1.339399954304099
50,lp_build,4,1.370699959807098
50,lp_build,5,1.2239000061526895
50,lp_build,6,1.2200000928714871
50,lp_build,7,1.2792999623343349
50,lp_build,8,1.236499985679984
50,lp_build,9,1.3558000791817904
50,lp_build,10,1.402099966071546
50,lp_build,11,1.269000000320375
50,lp_build,12,1.3911999994888902
50,lp_build,13,1.270500011742115
50,lp_build,14,1.2419000267982483
50,lp_build,15,1.2597000459209085
50,lp_build,16,1.246499945409596
50,lp_build,17,1.2577000306919217
50,lp_build,18,1.515100011602044
50,lp_build,19,1.2609000550583005
50,lp_build,20,1.4233000110834837
50,lp_build,21,1.2586000375449657
50,lp_build,22,1.2549000093713403
50,lp_build,23,1.258100033737719
50,lp_build,24,1.2385000009089708
50,lp_build,25,1.270500011742115
50,lp_build,26,1.575400005094707
50,lp_build,27,1.2122999178245664
50,lp_build,28,1.4186999760568142
