scenario,lambda_star,bottleneck_argmin,bottleneck_near_set,bottleneck_class,near_set_size,runner_up_margin,stage2_satisfaction,stage3_variation,feasibility_tolerance,draw
efficiency,0.8590831580209105,source:20,source:20,source,1,4.075424997904404e-05,0.9097604631770739,5.296509274575179,1e-09,15.0
efficiency,0.8666343391243145,source:23,source:23,source,1,0.00013158770024778246,0.9137876615755703,5.201382983161089,1e-09,16.0
efficiency,0.8451836659984596,source:24,source:24,source,1,0.0007069979885403269,0.8996496886090546,5.307714844976609,1e-09,17.0
efficiency,0.8788235294249158,edge:11:K6,edge:11:K6;edge:25:K6;edge:26:K6,edge,3,0.007228915636977533,0.932109739133995,4.583125225994002,1e-08,18.0
efficiency,0.8798823529509229,edge:14:K12,edge:14:K12,edge,1,0.003610108307150698,0.9288322221208033,4.688770904121961,1e-09,19.0
efficiency,0.8695171621751966,source:24,source:24,source,1,6.34541468147056e-05,0.9158297282486478,5.1311326180258,1e-09,20.0
efficiency,0.825129848010277,source:19,source:19,source,1,0.00018191923443544944,0.8874225463151894,5.875671322081195,1e-09,21.0
efficiency,0.8644400929766289,source:24,source:24,source,1,0.00010162698559447526,0.9123604880224497,5.283293412578316,1e-09,22.0
efficiency,0.8382742505151848,source:20,source:20,source,1,0.0005389622520097435,0.8958312794363965,5.51661785223652,1e-09,23.0
efficiency,0.844167115289375,source:23,source:23,source,1,7.781268383039133e-05,0.8999927536417486,6.016660864627637,1e-09,24.0
efficiency,0.8428509170111377,source:18,source:18,source,1,1.3819489380014986e-05,0.8988562745351538,5.575646974896945,1e-09,25.0
efficiency,0.824933929410142,source:18,source:18,source,1,0.0005956971021817018,0.8868021346096071,5.85099345776237,1e-08,26.0
efficiency,0.8493537833027384,source:18,source:18,source,1,0.0006923736686879135,0.9025585414008599,5.399652837550031,1e-09,27.0
efficiency,0.78996761221715,source:19,source:19,source,1,0.000678814788255481,0.8630615294033417,6.444786228832139,1e-09,28.0
efficiency,0.8625687948764368,source:24,source:24,source,1,0.0007733117427737907,0.911527448809692,5.395283591777891,1e-09,29.0
efficiency,0.7997622973749979,source:20,source:20,source,1,0.0003462587193465399,0.8724791184227865,6.373809556654214,1e-09,30.0
efficiency,0.8171244009916157,source:24,source:24,source,1,0.0009347091211432035,0.8832478519509257,6.2315277592522,1e-09,31.0
efficiency,0.8339098700721885,source:20,source:20,source,1,5.2282862777023685e-05,0.8937214772224427,5.45016251618072,1e-09,32.0
